id,name,author,genre,description,isbn
1,All Systems Red,Martha Wells,science fiction,"On a distant planet, a team of scientists is conducting surface tests, shadowed by their Company-supplied ‘droid--a self-aware SecUnit that has hacked its own governor module and refers to itself (though never out loud) as “Murderbot.” Scornful of humans, Murderbot wants is to be left alone long enough to figure out who it is, but when a neighboring mission goes dark, it's up to the scientists and Murderbot to get to the truth. In a corporate-dominated space-faring future, planetary missions must be approved and supplied by the Company. For their own safety, exploratory teams are accompanied by Company-supplied security androids. But in a society where contracts are awarded to the lowest bidder, safety isn’t a primary concern.",9781250214713
2,Ancillary Justice,Ann Leckie,science fiction,"Now, an act of treachery has ripped it all away, leaving her with one fragile human body, unanswered questions, and a burning desire for vengeance. On a remote, icy planet, the soldier known as Breq is drawing closer to completing her quest. Once, she was the Justice of Toren - a colossal starship with an artificial intelligence linking thousands of soldiers in the service of the Radch, the empire that conquered the galaxy. ",9780316246620
3,Contact,Carl Sagan,science fiction,"As a young astronomer convinced of the existence of intelligent extraterrestrial life, Ellie Arroway must contend with the skepticism of the scientific community towards Project Argus, a space listening program based in New Mexico, which she and her team are doing everything in their power to save. Until the day their computers pick up a rational message sent not from Earth, but from Vega, a distant star. Ellie throws herself wholeheartedly into deciphering it, only to discover that it's the plans for a vehicle designed to enable humans to travel through space and meet the beings who sent it. These beings now seem eager to make contact: they've been watching us for a long time, and the time may have come for them to judge us...",9780671434007
